state,sat-m,profic,group
Conn,472,23.1,1
Del,464,16.1,1
D.C.,443,2.8,1
Ga,446,14.7,1
Hawaii,480,12.5,1
Ind,466,17.5,1
Maine,463,,1
Md,479,17.1,1
Mass,475,,1
N.H.,486,22.5,1
N.J.,475,22.8,1
N.Y.,472,16.2,1
N.C.,455,9.2,1
Ore,491,22.6,1
Pa,462,19.1,1
R.I.,462,15.3,1
S.C.,443,,1
Vt,472,,1
Va,469,18.9,1
Ala,529,8.8,2
Alaska,477,,2
Ariz,496,,2
Ark,518,9.7,2
Calif,482,13.9,2
Colo,513,18.2,2
Fla,466,12.8,2
Idaho,508,19.5,2
Ill,546,,2
Iowa,574,26.7,2
Kan,550,,2
Ky,523,10.5,2
La,530,5.4,2
Mich,537,16.8,2
Minn,562,25.4,2
Miss,528,,2
Mo,532,,2
Mont,523,,2
Neb,543,26.6,2
Nev,484,,2
N.M.,528,10.3,2
N.D.,559,30.6,2
Ohio,510,15.6,2
Okla,537,13.2,2
S.D.,548,,2
Tenn,535,,2
Texas,474,13.1,2
Utah,558,,2
Wash,488,,2
W.V.,482,9.8,2
Wis,557,24.6,2
Wyo,521,19.7,2
