rain,actual,area
2.97,1.85,x1
1.88,1.72,x1
2.19,1.94,x1
1.68,0.78,x1
2.4,2.51,x1
3.4,3.55,x1
2.05,2.08,x1
2.11,1.4,x1
2.66,2.36,x1
1.49,2.25,x1
2.45,2.77,x1
2.45,1.7,x1
2.41,2.69,x1
4.1,3.71,x1
3.82,2.98,x1
4.78,4.66,x1
1.25,0.95,x1
1.88,1.45,x1
1.49,1.36,x1
2.02,2.27,x1
1.36,1.05,x1
3.38,2.73,x1
3.16,3.94,x1
2.23,1.94,x1
1.76,1.88,x1
3.33,2.84,x1
2.3,2.16,x1
2.59,3.96,x1
2.28,1.9,x1
3.41,3.94,x1
2.56,1.49,x1
2.6,2.92,x1
2.19,2.21,x1
2.48,3.57,x1
2.23,2.63,x1
2.97,2.36,x2
1.88,1.93,x2
2.19,3.35,x2
1.68,1.23,x2
2.4,2.04,x2
3.4,4.46,x2
2.05,1.67,x2
2.11,1.83,x2
2.66,1.88,x2
1.49,2.34,x2
2.45,3.21,x2
2.45,2.33,x2
2.41,3.22,x2
4.1,3.81,x2
3.82,3.5,x2
4.78,4.45,x2
1.25,1.16,x2
1.88,1.76,x2
1.49,1.95,x2
2.02,2.28,x2
1.36,1.35,x2
3.38,2.92,x2
3.16,2.7,x2
2.23,2.14,x2
1.76,1.71,x2
3.33,2.84,x2
2.3,3.07,x2
2.59,2.46,x2
2.28,2.11,x2
3.41,3.89,x2
2.56,2.71,x2
2.6,2.63,x2
2.19,2.4,x2
2.48,2.62,x2
2.23,2.13,x2
2.97,2.17,x3
1.88,1.25,x3
2.19,2.3,x3
1.68,0.97,x3
2.4,3.19,x3
3.4,3.82,x3
2.05,1.94,x3
2.11,1.94,x3
2.66,2.78,x3
1.49,1.82,x3
2.45,2.57,x3
2.45,2.18,x3
2.41,2.62,x3
4.1,3.3,x3
3.82,3.4,x3
4.78,4.46,x3
1.25,0.9,x3
1.88,1.33,x3
1.49,2.5,x3
2.02,3.21,x3
1.36,0.86,x3
3.38,2.4,x3
3.16,4.3,x3
2.23,2.27,x3
1.76,2.25,x3
3.33,2.62,x3
2.3,2.91,x3
2.59,3.02,x3
2.28,1.84,x3
3.41,3.7,x3
2.56,1.44,x3
2.6,3.32,x3
2.19,2.27,x3
2.48,3.18,x3
2.23,2.12,x3
2.97,2.77,x4
1.88,1.5,x4
2.19,2.64,x4
1.68,1.66,x4
2.4,2.17,x4
3.4,4.06,x4
2.05,2.22,x4
2.11,2.55,x4
2.66,3.18,x4
1.49,2.12,x4
2.45,3.18,x4
2.45,1.95,x4
2.41,3.28,x4
4.1,4.13,x4
3.82,4.28,x4
4.78,4.79,x4
1.25,1.25,x4
1.88,1.98,x4
1.49,1.5,x4
2.02,2.24,x4
1.36,1.39,x4
3.38,4.3,x4
3.16,2.99,x4
2.23,3.52,x4
1.76,2.65,x4
3.33,5.44,x4
2.3,3.46,x4
2.59,4.14,x4
2.28,2.75,x4
3.41,3.86,x4
2.56,2.49,x4
2.6,2.78,x4
2.19,3.76,x4
2.48,2.44,x4
2.23,2.55,x4
